registry,nir,cc,economy_name,type,resource,start,value,delegation_date,transfer_date,opaque_id,holder_name
apnic,irinn,IN,India,ipv4,163.128.174.0/23,163.128.174.0,512,2026-04-08,,A92AE179,U-Digital Network Private Limited
apnic,irinn,IN,India,ipv4,163.128.177.0/24,163.128.177.0,256,2026-04-08,,A92CDADF,FUTURENET BROADBAND AND INTERNET SERVICES PVT LTD
apnic,irinn,IN,India,ipv4,163.128.178.0/23,163.128.178.0,512,2026-04-08,,A9230DA4,COUNTRYNET SOLUTIONS PVT LTD
apnic,,IN,India,ipv4,163.128.180.0/23,163.128.180.0,512,2026-04-08,,A91AE317,DHARTI INDUSTRIES
apnic,irinn,IN,India,ipv6,2001:df6:e3c0::/48,2001:df6:e3c0::,48,2026-04-08,,A92CDADF,FUTURENET BROADBAND AND INTERNET SERVICES PVT LTD
apnic,irinn,IN,India,ipv6,2402:5520::/32,2402:5520::,32,2026-04-08,,A92AE179,U-Digital Network Private Limited
apnic,irinn,IN,India,ipv6,2402:5560::/32,2402:5560::,32,2026-04-08,,A9230DA4,COUNTRYNET SOLUTIONS PVT LTD
apnic,,IN,India,asn,AS154594,154594,1,2026-04-08,,A91AE317,DHARTI INDUSTRIES
apnic,irinn,IN,India,asn,AS154595,154595,1,2026-04-08,,A92AE179,U-Digital Network Private Limited
apnic,irinn,IN,India,asn,AS154597,154597,1,2026-04-08,,A92CDADF,FUTURENET BROADBAND AND INTERNET SERVICES PVT LTD
apnic,irinn,IN,India,asn,AS154598,154598,1,2026-04-08,,A9230DA4,COUNTRYNET SOLUTIONS PVT LTD
apnic,irinn,IN,India,ipv4,163.128.164.0/23,163.128.164.0,512,2026-04-07,,A9227B79,BOISAR NETWORK INTERNET OPC PRIVATE LIMITED
apnic,irinn,IN,India,ipv4,163.128.166.0/23,163.128.166.0,512,2026-04-07,,A923CD4E,AIRHIVE NETWORK PRIVATE LIMITED
apnic,irinn,IN,India,ipv4,163.128.168.0/23,163.128.168.0,512,2026-04-07,,A92F6A58,NETFIZZ NETWORK PRIVATE LIMITED
apnic,irinn,IN,India,ipv6,2001:df6:e2c0::/48,2001:df6:e2c0::,48,2026-04-07,,A9227B79,BOISAR NETWORK INTERNET OPC PRIVATE LIMITED
apnic,irinn,IN,India,ipv6,2001:df6:e340::/48,2001:df6:e340::,48,2026-04-07,,A92F6A58,NETFIZZ NETWORK PRIVATE LIMITED
